Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Burnout_Score,Stagnation_Score,Disengagement_Score,Compensation_Gap,Cluster
0,2,2,2,1,0.5055446394403083,0.58079526080885,0.6209859275516705,3,2,1,1,0,1,1,1,1,1,1,3,0,1,2,1,1,2,1,0,1,2,2,1,1,0,6,1,5,0,1
0,1,2,2,2,0.2813321005719086,0.494729193738419,0.4860613946318852,1,0,1,0,0,1,1,1,2,1,2,3,1,2,2,2,2,0,0,0,1,2,2,1,1,0,1,2,5,1,1
1,1,2,1,1,0.3553719008441233,0.4690232345327208,0.2652017323423765,2,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,1,2,2,0,1,1,1,0,1,0,7,3,7,2,2
0,2,1,2,2,0.3553719008441233,0.5277634595901657,0.5195136717366,3,2,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,2,0,0,3,1,1,0,1,4,4,5,2,2
0,1,2,1,1,0.5041293001243747,0.5277634595901657,0.4012782538087797,2,2,1,1,1,3,0,0,1,1,1,1,0,3,1,2,1,2,2,0,0,1,1,0,0,1,7,2,6,2,2
1,2,2,2,2,0.3553719008441233,0.2560048675697335,0.2068230990908619,1,0,0,0,0,2,0,0,0,0,2,1,0,1,1,3,1,2,0,1,1,3,3,1,0,1,5,4,5,2,2
0,2,2,1,1,0.2813321005719086,0.5727612338639113,0.47073868350099,1,0,1,0,0,1,0,0,0,0,1,1,0,3,2,1,2,1,1,0,0,2,2,0,0,1,4,3,3,2,2
1,1,3,1,1,0.5041293001243747,0.3924051042901554,0.3464152991515907,1,0,0,0,0,1,0,0,1,1,1,2,0,2,2,2,2,2,1,1,0,2,2,0,0,1,5,2,5,2,2
0,2,2,2,2,0.4730210191672236,0.494729193738419,0.4860613946318852,2,3,1,1,0,1,1,1,0,0,3,3,1,2,3,3,3,0,0,1,0,2,2,1,1,0,0,3,6,0,1
0,1,1,1,1,0.5055446394403083,0.5727612338639113,0.4020705871988475,1,2,0,0,0,1,0,0,0,0,1,3,1,2,2,1,2,1,1,0,0,2,2,0,0,1,3,3,4,2,2
1,2,3,2,2,0.3553719008441233,0.2560048675697335,0.2774942828349492,5,2,1,0,0,2,0,0,1,1,2,3,0,1,3,2,1,2,2,0,0,3,2,0,0,1,7,3,5,2,2
1,2,1,1,1,0.5055446394403083,0.4690232345327208,0.2652017323423765,1,0,1,0,0,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,0,2,2,0,1,0,3,2,4,2,2
0,2,2,3,1,0.4730210191672236,0.5697065570083024,0.5413865546218488,1,0,0,1,0,1,0,0,0,0,1,1,0,3,1,2,2,2,2,0,0,1,1,0,1,0,6,3,6,1,2
1,3,2,1,1,0.6004666455841483,0.5444138749750935,0.557835589399299,1,0,0,0,1,2,0,0,0,0,1,1,0,1,2,1,2,1,2,0,0,1,1,0,1,0,5,3,7,3,2
1,1,2,3,3,0.3553719008441233,0.5088547359679307,0.4913865546218487,1,0,1,0,0,3,1,1,1,0,1,2,1,2,2,1,2,1,1,1,0,2,2,0,0,1,3,4,4,1,0
1,2,2,2,2,0.6004666455841483,0.3924051042901554,0.3485496690247472,2,1,1,0,0,1,0,0,2,1,1,2,1,1,1,1,2,0,1,0,0,2,2,0,1,0,2,3,5,2,0
1,1,2,1,1,0.3553719008441233,0.4690232345327208,0.2652017323423765,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,1,0,1,0,0,2,1,0,0,1,4,3,7,2,2
0,2,2,2,1,0.2813321005719086,0.5727612338639113,0.47073868350099,2,0,1,1,0,1,0,0,1,1,1,2,1,2,2,2,2,1,1,0,0,2,2,1,1,0,3,2,5,1,2
0,2,2,3,3,0.5569570005567268,0.494729193738419,0.5188898574495677,2,2,1,0,1,3,1,1,2,1,2,2,0,2,2,3,2,2,1,0,0,2,2,1,1,0,5,3,6,2,1
